Date,AAPL,MSFT,GOOG,AMZN,FB
,AAPL,MSFT,GOOG,AMZN,FB
2023-11-13,183.07110595703125,361.2361755371094,132.73167419433594,142.58999633789062,
2023-11-14,185.6864013671875,364.7729187011719,134.509521484375,145.8000030517578,
2023-11-15,186.2510528564453,364.92095947265625,135.45306396484375,143.1999969482422,
2023-11-16,187.93516540527344,371.3374938964844,137.75730895996094,142.8300018310547,
2023-11-17,187.91534423828125,365.09869384765625,136.00924682617188,145.17999267578125,
2023-11-20,189.6588897705078,372.59112548828125,136.98257446289062,146.1300048828125,
2023-11-21,188.85646057128906,368.27728271484375,137.67782592773438,143.89999389648438,
2023-11-22,189.52020263671875,372.99591064453125,139.06832885742188,146.7100067138672,
2023-11-24,188.19271850585938,372.5812683105469,137.28054809570312,146.74000549316406,
2023-11-27,188.014404296875,373.7461242675781,137.11170959472656,147.72999572753906,
2023-11-28,188.61868286132812,377.7835998535156,137.67782592773438,147.02999877929688,
2023-11-29,187.5983123779297,373.9830017089844,135.47293090820312,146.32000732421875,
2023-11-30,188.17291259765625,374.0422668457031,133.00978088378906,146.08999633789062,
2023-12-01,189.4508514404297,369.69879150390625,132.41387939453125,147.02999877929688,
2023-12-04,187.6577911376953,364.39776611328125,129.7421417236328,144.83999633789062,
2023-12-05,191.61045837402344,367.7343444824219,131.4901885986328,146.8800048828125,
2023-12-06,190.52076721191406,364.0621337890625,130.53668212890625,144.52000427246094,
2023-12-07,192.45249938964844,366.1844787597656,137.5089874267578,146.8800048828125,
2023-12-08,193.87901306152344,369.42236328125,135.7113037109375,147.4199981689453,
2023-12-11,191.3726806640625,366.5299987792969,133.78448486328125,145.88999938964844,
2023-12-12,192.88836669921875,369.5704650878906,132.73167419433594,147.47999572753906,
2023-12-13,196.1079864501953,369.56060791015625,133.05943298339844,148.83999633789062,
2023-12-14,196.25657653808594,361.2289733886719,132.29466247558594,147.4199981689453,
2023-12-15,195.72161865234375,365.9673156738281,132.93032836914062,149.97000122070312,
2023-12-18,194.05731201171875,367.8626708984375,136.257568359375,154.07000732421875,
2023-12-19,195.09750366210938,368.4648742675781,137.161376953125,153.7899932861328,
2023-12-20,193.00726318359375,365.8587951660156,138.71075439453125,152.1199951171875,
2023-12-21,192.85861206054688,368.7412414550781,140.8362274169922,153.83999633789062,
2023-12-22,191.7887725830078,369.7678527832031,141.74996948242188,153.4199981689453,
2023-12-26,191.24391174316406,369.84686279296875,141.8492889404297,153.41000366210938,
2023-12-27,191.3429412841797,369.26446533203125,140.47866821289062,153.33999633789062,
2023-12-28,191.76895141601562,370.4588928222656,140.3197479248047,153.3800048828125,
2023-12-29,190.728759765625,371.2091064453125,139.9721221923828,151.94000244140625,
2024-01-02,183.90322875976562,366.1055603027344,138.6114501953125,149.92999267578125,
